Ticker Symbol,Company Name,Last Price,7D Return,1Y Return,Market Cap,Analysts Target,Valuation,Growth,Div Yield,Industry
AEL.N0000,Access Engineering,LK₨22.40,-0.026,0.251,LK₨22.4b,LK₨31.20,PE3.4x,S41.1%,0%,Capital Goods
DIPD.N0000,Dipped Products,LK₨35.60,0.014,0.06,LK₨21.3b,n/a,PE4.8x,n/a,5.60%,Materials
AHUN.N0000,Aitken Spence Hotel Holdings,LK₨63.00,-0.016,-0.1,LK₨21.2b,LK₨90.00,PE18.8x,S20.9%,0%,Consumer Services
OSEA.N0000,Overseas Realty (Ceylon),LK₨17.00,-0.023,0.03,LK₨21.1b,n/a,PE5.5x,n/a,7.40%,Real Estate Management and Development
CTEA.N0000,Dilmah Ceylon Tea,"LK₨1,000.00",0,-0.057,LK₨20.7b,n/a,PE27.9x,n/a,5.00%,"Food, Beverage & Tobacco"
TKYO.N0000,Tokyo Cement Company (Lanka),LK₨49.50,0.01,-0.048,LK₨20.7b,LK₨76.00,PE9x,S16.7%,2.80%,Materials
HUNA.N0000,Hunas Holdings,LK₨24.40,0.017,-0.119,LK₨20.7b,n/a,PS26.2x,n/a,0%,Consumer Services
PALM.N0000,Palm Garden Hotels,LK₨42.00,-0.021,-0.041,LK₨20.0b,n/a,PS2.9x,n/a,n/a,Consumer Services
ACL.N0000,ACL Cables,LK₨83.40,0.005,0.016,LK₨20.0b,n/a,PE6.9x,n/a,1.50%,Capital Goods
EDEN.N0000,Eden Hotel Lanka,LK₨12.50,0.008,-0.081,LK₨19.8b,n/a,PS2.8x,n/a,0%,Consumer Services
MGT.N0000,Hayleys Fabric,LK₨45.90,0,0.706,LK₨19.1b,LK₨65.00,PE8x,S17.6%,5.40%,Consumer Durables
SINS.N0000,Singer (Sri Lanka),LK₨15.50,0.026,0,LK₨18.1b,n/a,PB1.6x,n/a,0%,Retail
